the cougars	bn:01345595n
chaplin	bn:02611784n,bn:15433593n,bn:00207935n,bn:03748827n,bn:14541413n,bn:14397598n,bn:00950541n,bn:00017727n
dietrich	bn:03624299n,bn:00027021n,bn:16015117n,bn:14675878n,bn:00229009n
bette davis	bn:00010156n
buster keaton	bn:00014193n
gable	bn:03570112n,bn:00036976n,bn:00019466n
cary grant	bn:00016363n
charlie chaplin	bn:00989774n,bn:01111077n,bn:16849040n,bn:00017727n,bn:03473890n
bogart	bn:00220530n,bn:15150210n,bn:00011806n
head coach	bn:03328367n,bn:00008810n
former coach	
first-year coach	
new coach	
assistant coach	bn:00020119n
bermuda	bn:00010034n
dominica	bn:00021210n,bn:00028182n
guadeloupe	bn:00042018n,bn:16882541n
grenada	bn:00201040n,bn:00371097n,bn:03308343n,bn:13979721n,bn:00041755n
the cayman islands	bn:00016906n
guam	bn:00042010n,bn:00167254n
martinique	bn:00053590n,bn:01602696n
the caribbean	bn:00016066n,bn:02522221n
aruba	bn:01765427n,bn:00006200n
trinidad and tobago	bn:00067234n,bn:02485555n
gibraltar	bn:02046131n,bn:00014917n,bn:02045230n,bn:16753381n,bn:01609784n,bn:01643056n,bn:00594484n,bn:13597528n,bn:16192711n,bn:00330309n,bn:01596704n
indies	bn:00029480n
caribbean	bn:16402931n,bn:02473475n,bn:00076785n,bn:00016065n,bn:00016066n,bn:03331569n,bn:02936890n
antigua	bn:00004671n,bn:02436836n
jamaica	bn:00679998n,bn:03546187n,bn:02805524n,bn:00577935n,bn:02301799n,bn:00047903n,bn:00047904n,bn:00264460n,bn:02418044n,bn:03417321n
the bahamas	bn:00007959n
antigua and barbuda	bn:00004672n
islands	bn:00047612n,bn:03873347n,bn:00924137n,bn:03781250n,bn:03159226n,bn:02950991n,bn:00646303n,bn:14636569n,bn:00335066n,bn:02242364n,bn:02421560n,bn:01833427n,bn:02116780n
bahamas	bn:02034246n,bn:00007959n
lucia	bn:14378392n,bn:15812212n,bn:03763786n,bn:03889022n,bn:00671439n,bn:17032600n,bn:03890276n,bn:14871996n,bn:01869441n
antilles	bn:00004681n
trinidad	bn:03389230n,bn:01528637n,bn:00193319n,bn:01142454n,bn:00164690n,bn:16440303n,bn:00078305n,bn:01364002n,bn:03147966n,bn:00204804n,bn:00562713n,bn:00846148n,bn:03378833n,bn:00830694n,bn:01387047n,bn:00179300n,bn:03281844n
barbados	bn:03838088n,bn:16008034n,bn:00008501n,bn:00008500n,bn:00598511n,bn:14375902n
o'sullivan	bn:03274208n
burke	bn:00013989n,bn:00013987n,bn:00579510n,bn:03723215n,bn:00556199n,bn:00593857n,bn:17049412n,bn:01575023n
donnelly	bn:03096034n,bn:00229474n,bn:00364606n,bn:00914515n
eddie murphy	bn:00276596n,bn:03458133n,bn:02280355n,bn:15398368n,bn:00991330n,bn:03344480n
o'reilly	bn:01455732n
connolly	bn:00021925n,bn:02002210n
dunne	bn:03182285n
walsh	bn:00202949n,bn:00713266n
o'connell	bn:00711673n,bn:01645458n
murphy	bn:00559043n,bn:03154305n,bn:00378177n,bn:01607750n,bn:00047481n,bn:00480658n,bn:14049236n,bn:00455323n,bn:00494113n,bn:03494157n
o'brien	bn:03527682n,bn:03853511n,bn:00029796n,bn:02004040n,bn:00240594n,bn:00562370n,bn:13921964n
o'connor	bn:01873262n,bn:02877164n,bn:00035034n
mccann	bn:03182467n
gallagher	bn:01347176n,bn:02526131n,bn:02084498n
flanagan	bn:00626085n,bn:01737910n,bn:02235241n
lee byrne	bn:03617213n
o'gara	bn:00182697n
mccarthy	bn:00053611n,bn:03345963n,bn:00176054n,bn:00048432n,bn:01715582n
flynn	bn:15590896n,bn:03040969n
cunningham	bn:00024405n,bn:03896977n,bn:03136347n,bn:03249179n,bn:01029155n,bn:01977925n
o'neill	bn:00396413n,bn:00031810n,bn:17349602n,bn:03317993n,bn:01773722n
foley	bn:00228735n,bn:00192943n,bn:00333427n,bn:02402036n,bn:03897164n,bn:00378950n
john byrne	bn:03631587n,bn:15485227n,bn:00362888n,bn:02919393n,bn:01377637n,bn:02315128n,bn:00661157n,bn:16031398n,bn:16031403n,bn:00866813n,bn:00258888n,bn:16592550n,bn:03527533n,bn:03878030n,bn:00750166n,bn:02385035n
hayes	bn:00043212n,bn:03323115n,bn:03550098n,bn:01900118n,bn:00823115n,bn:00043213n
quinn	bn:02388410n,bn:15789469n,bn:15670379n,bn:00550561n
brennan	bn:03010457n,bn:01846173n
doherty	bn:03121396n,bn:01425570n
byrne	bn:00673026n
fitzpatrick	bn:01194129n,bn:03878980n,bn:01978379n,bn:03286121n
doyle	bn:00568204n,bn:03396934n,bn:03631734n,bn:00591700n,bn:02391087n
gabriel byrne	bn:01668336n
sullivan	bn:00004325n,bn:14625363n,bn:00043080n,bn:01746916n,bn:01198879n,bn:00052084n,bn:00250957n,bn:15313507n,bn:00788933n,bn:00723839n,bn:00240438n,bn:03274208n,bn:00029720n,bn:00945315n,bn:00292505n,bn:00006112n,bn:01324112n,bn:00828298n,bn:01960054n
maguire	bn:00713069n
o'donnell	bn:00738876n,bn:17161335n,bn:00728587n,bn:15620513n
farrell	bn:00029995n,bn:00614195n,bn:00033703n,bn:02120605n,bn:00530307n,bn:02618332n,bn:03111374n
healy	bn:00150732n,bn:00172014n,bn:16958997n,bn:00260755n,bn:01094478n,bn:00458732n
shane byrne	bn:01946036n,bn:02652928n,bn:01534143n
mckenna	bn:01376418n,bn:03076164n
mclaughlin	bn:16548942n,bn:00413299n,bn:01789177n
stevens	bn:00040235n,bn:00074238n,bn:03885067n,bn:00068676n,bn:00533146n
higgins	bn:03638965n,bn:00565322n,bn:00960609n,bn:00263826n,bn:03877359n
dempsey	bn:00026189n,bn:15501997n,bn:01230269n,bn:03298188n
paul o'connell	bn:01122154n,bn:02815595n
duffy	bn:01401671n,bn:00602148n,bn:00714231n,bn:01160544n
daniels	bn:00906162n,bn:00739165n,bn:17123383n,bn:00590579n,bn:15864251n,bn:00592492n
allen	bn:00558910n,bn:00280373n,bn:16015866n,bn:00726103n,bn:00494586n,bn:01250676n,bn:16688974n,bn:00310193n,bn:03457779n,bn:01087742n,bn:03792751n,bn:00131162n,bn:00002834n,bn:03735589n,bn:00547514n,bn:00002832n,bn:14571828n,bn:03275748n,bn:01407368n,bn:03293671n,bn:14851178n,bn:03268319n,bn:02812635n,bn:03735570n,bn:00393801n,bn:01423054n,bn:01415662n,bn:00002833n
rick nash	bn:01911154n,bn:03192223n
payton	bn:01028198n,bn:15617644n
malone	bn:03685433n,bn:00189817n,bn:01952295n,bn:03740640n,bn:00029781n,bn:00212391n,bn:03725795n,bn:15313333n,bn:00563384n
pau gasol	bn:00785336n
derek fisher	bn:00409077n,bn:14637662n
allen iverson	bn:02406830n
childs	bn:03703282n,bn:16143942n,bn:03424080n
tracy mcgrady	bn:03287435n
strickland	bn:00425632n,bn:00074657n,bn:00602522n
sam cassell	bn:03757759n
kobe	bn:00049923n,bn:00664681n,bn:00962488n,bn:00049387n
jordan	bn:00384984n,bn:15858328n,bn:14449617n,bn:16974919n,bn:00769320n,bn:00596323n,bn:00596269n,bn:02490783n,bn:14249616n,bn:01427938n,bn:17003314n,bn:02832658n,bn:00301671n,bn:11316234n,bn:00358991n,bn:00048412n,bn:01981071n,bn:02104566n,bn:03221346n,bn:01043134n,bn:00043106n,bn:03831717n,bn:15460687n
jason kidd	bn:03227522n
brand	bn:00231157n,bn:00291243n,bn:00012761n,bn:16972784n,bn:00012762n,bn:00012758n,bn:00012759n,bn:00011081n,bn:00017070n,bn:14481944n,bn:03358277n,bn:01216298n,bn:00012760n,bn:00353604n,bn:02158926n
ron artest	bn:00327126n
lebron	bn:01257128n,bn:01747832n
scottie pippen	bn:02579188n
kevin garnett	bn:03317408n
carmelo anthony	bn:03767269n
paul pierce	bn:03854583n,bn:00757745n
michael finley	bn:03808531n
hakeem olajuwon	bn:01913938n
bryant	bn:01744422n,bn:00248158n,bn:03501660n,bn:03203989n,bn:00190983n
ben wallace	bn:01125429n,bn:03295415n
michael jordan	bn:01113136n,bn:01315954n,bn:01993011n,bn:01621310n,bn:14940199n,bn:00502811n,bn:02179697n
karl malone	bn:03222788n
arenas	bn:02201368n
magic johnson	bn:03087321n,bn:03038130n
steve nash	bn:02818367n,bn:01124604n
ewing	bn:15417890n,bn:00378854n,bn:00225130n,bn:00580596n,bn:00396043n,bn:00420372n,bn:03885072n
iverson	bn:02151328n,bn:17118565n
robert horry	bn:00415143n
dwyane wade	bn:03767295n
latrell sprewell	bn:03774127n
finley	bn:03679017n,bn:00597154n,bn:15980769n,bn:00582445n,bn:00470502n
lebron james	bn:01747832n
cassell	bn:01949228n,bn:02696151n
gary payton	bn:03608932n,bn:03285620n
horry	
odom	bn:14425389n
jermaine o'neal	bn:03500424n
barkley	bn:00002453n,bn:14503735n,bn:00146292n
wallace	bn:00398185n,bn:00548273n,bn:02978249n,bn:00246533n,bn:00278844n,bn:00898264n,bn:03250496n,bn:16746199n,bn:00965344n,bn:00724728n,bn:01390830n,bn:00483178n,bn:01576695n,bn:00288040n,bn:00192412n,bn:00029744n,bn:03166998n,bn:00229294n,bn:00071822n,bn:16655568n,bn:13902729n,bn:00002668n
elton brand	bn:03680743n
kobe bryant	bn:01806181n
david robinson	bn:16733381n,bn:01628063n,bn:00226408n,bn:01341814n,bn:00711818n,bn:00178730n,bn:03621426n,bn:03042809n,bn:14130826n,bn:01579765n,bn:01086763n,bn:03698791n,bn:14635240n,bn:01348942n,bn:00655155n
rasheed wallace	bn:03276497n
penny hardaway	bn:03807371n
ray allen	bn:03771670n,bn:03223143n
posey	bn:02708305n,bn:15228625n,bn:00012432n,bn:02104124n,bn:01857174n
stephon marbury	bn:03479536n
walter payton	bn:02892162n,bn:03291467n
dirk nowitzki	bn:03121259n
pierce	bn:00399541n,bn:00408126n,bn:00036266n,bn:00228067n,bn:00597614n,bn:00206021n
vince carter	bn:03276821n
antoine walker	bn:03724479n
rodman	bn:00267861n,bn:13679607n
charles barkley	bn:01286088n
robinson	bn:00066316n,bn:15815438n,bn:00624040n,bn:15856973n,bn:00672812n,bn:00232727n,bn:16061320n,bn:00047937n,bn:00566019n,bn:00047819n,bn:00031589n,bn:03146429n,bn:00068027n,bn:00029854n,bn:00029832n,bn:02060079n,bn:02200462n,bn:00651404n,bn:02108067n,bn:03733575n
patrick ewing	bn:01708209n
bowen	bn:01272544n,bn:03724414n,bn:00234590n,bn:03877014n,bn:03119308n
kidd	bn:00615596n,bn:14010745n,bn:03206612n,bn:00015760n,bn:03639236n
shaquille o'neal	bn:00689343n
tim hardaway	bn:03448177n
garnett	bn:17121697n,bn:00271276n,bn:03249739n
grant hill	bn:16833326n,bn:03502321n,bn:03179068n
lamar odom	bn:03496550n
tim duncan	bn:03220739n,bn:01517312n,bn:15591510n
reggie miller	bn:03223761n
stockton	bn:00036219n,bn:16568104n,bn:03231807n,bn:00574577n,bn:00487308n,bn:03018216n,bn:00277731n,bn:00375390n,bn:03891309n,bn:00299518n,bn:00576607n,bn:00235851n,bn:03329606n,bn:00369270n,bn:00601564n
webber	bn:00483918n
starks	bn:00294593n,bn:00852398n
chris webber	bn:03322360n,bn:14837426n,bn:03611765n
nash	bn:00505740n,bn:00056895n,bn:00374206n,bn:00140191n,bn:00557181n
duncan	bn:02091455n,bn:00184906n,bn:00496868n,bn:16132866n,bn:00029121n,bn:00265203n,bn:00602855n,bn:01414799n,bn:00370289n,bn:00399585n,bn:00602856n,bn:00484616n,bn:00546793n,bn:14743298n,bn:02679199n
wade	bn:16791223n,bn:00456237n,bn:16791226n,bn:00291244n,bn:00080064n,bn:00408965n,bn:00590421n,bn:13933758n
handbook	bn:00030689n,bn:00425484n
dictionary	bn:00026967n,bn:03848413n,bn:01743012n,bn:03310648n
encyclopedia	bn:01494568n,bn:00024746n,bn:03288118n
bake	bn:02665646n,bn:16166843n
fry	bn:00034586n,bn:00018527n,bn:00036714n,bn:03095078n,bn:00018859n,bn:00034835n,bn:00033919n,bn:00257831n,bn:00432908n,bn:00018345n,bn:00842373n
roast	bn:00049357n,bn:01019555n,bn:00048373n
bait	bn:01976551n,bn:03065778n,bn:00265958n,bn:02849614n,bn:16604810n,bn:01134070n,bn:02473519n,bn:00008002n,bn:00007999n,bn:03192470n,bn:00007998n,bn:01579446n,bn:01080212n
octopus	bn:03409775n,bn:16648437n,bn:03265644n,bn:01023324n,bn:15946955n,bn:03481173n,bn:03180952n,bn:00662707n,bn:00974519n,bn:00058618n,bn:15724629n,bn:14687834n,bn:02995655n,bn:03751934n,bn:03123039n,bn:01833328n,bn:00026737n,bn:15533083n,bn:03731843n,bn:16644556n
trout	bn:00078435n,bn:11245903n,bn:00078434n,bn:15656230n,bn:03775396n
jig	bn:00048208n,bn:00040453n,bn:00048207n,bn:00644766n,bn:00313677n,bn:00048206n,bn:14936399n,bn:02617310n,bn:03337057n
striped bass	bn:00074716n,bn:00068040n
rib	bn:00067689n,bn:00067688n,bn:00023011n,bn:00067692n,bn:00067691n,bn:00067690n,bn:17074049n
beef	bn:01978752n,bn:00009544n,bn:00009543n,bn:03113357n,bn:14499071n,bn:00009545n,bn:01164290n,bn:14252565n,bn:00054026n,bn:00349535n
shad	bn:00070817n,bn:00070818n,bn:00755805n,bn:03812143n,bn:00652257n
catfish	bn:16628740n,bn:00016742n,bn:17313639n,bn:02191768n,bn:00016744n,bn:02871170n,bn:00016743n
mackerel	bn:00052586n,bn:00052585n
venison	bn:00079740n,bn:00698850n
grouper	bn:01506475n,bn:00041956n,bn:15126766n,bn:00041955n
the chicken	bn:16471958n,bn:03008468n,bn:00996389n
ham	bn:02398084n,bn:14178366n,bn:03575380n,bn:00042702n,bn:00042701n,bn:00042700n,bn:00048634n,bn:03224045n,bn:00175399n,bn:02302893n,bn:00037229n,bn:13819202n,bn:00991528n,bn:00175402n
brook trout	bn:00013343n,bn:00013342n
duck	bn:03263253n,bn:17067774n,bn:17067863n,bn:00029010n,bn:00176587n,bn:00029012n,bn:00029011n,bn:00029013n,bn:03635519n,bn:03797073n,bn:11045542n,bn:01041738n,bn:14246733n,bn:00884394n,bn:00316618n
herring	bn:00666962n,bn:00043890n,bn:00020064n
perch	bn:02363866n,bn:00061510n,bn:00061511n,bn:00061512n,bn:00039067n,bn:14179573n,bn:00061513n,bn:02576290n,bn:00061507n,bn:00061508n,bn:00061509n
brown trout	bn:00013426n
swordfish	bn:03769732n,bn:01129499n,bn:14601862n,bn:01317222n,bn:03862049n,bn:00075633n,bn:00075632n,bn:02689062n
pike	bn:01785288n,bn:00077525n,bn:02919081n,bn:15530965n,bn:00049823n,bn:14381383n,bn:00031599n,bn:00078690n,bn:15825685n,bn:03754470n,bn:03574480n,bn:00062375n,bn:00032402n,bn:00062374n,bn:00062373n,bn:00062372n
salmon	bn:00068968n,bn:00068969n,bn:00236255n,bn:02750898n,bn:03190627n,bn:00228956n,bn:00068966n,bn:00068967n
lobster	bn:01581550n,bn:01497918n,bn:14336244n,bn:00051730n,bn:00051731n
veal	bn:03601990n,bn:10441043n,bn:00079649n
largemouth bass	bn:00050026n,bn:00050027n
lake trout	bn:00049736n,bn:00049737n,bn:03233502n
rainbow	bn:03765988n,bn:00066045n,bn:03147681n,bn:01081961n,bn:02412996n,bn:03470484n,bn:03169268n,bn:01430868n,bn:03689400n,bn:16413642n,bn:00604737n,bn:01164177n,bn:02099499n,bn:03369392n,bn:03880783n,bn:01018180n,bn:00474090n,bn:01851080n,bn:03533619n,bn:03285707n,bn:00066046n,bn:16729712n,bn:01232161n,bn:13020439n,bn:01206573n,bn:01319623n,bn:03574298n,bn:01542817n,bn:03336733n,bn:02029647n,bn:03440235n,bn:15329504n,bn:00199344n,bn:17107277n,bn:14374626n,bn:00371190n,bn:01646790n,bn:14763579n,bn:01577165n
rainbow trout	bn:00066050n,bn:00066049n
sea scallops	
filet	bn:00034434n,bn:00034433n,bn:00034435n,bn:03578861n
turkey	bn:00681373n,bn:00048391n,bn:16323623n,bn:00011919n,bn:00040870n,bn:00561950n,bn:00054243n,bn:00038657n,bn:00067236n,bn:00074670n,bn:00078638n
squid	bn:02532570n,bn:15820960n,bn:01017576n,bn:00241605n,bn:00073759n,bn:03226652n,bn:01326205n,bn:16623362n,bn:00610160n,bn:00014632n,bn:01314431n,bn:00039646n
snapper	bn:14579422n,bn:00072400n,bn:00072401n,bn:00017129n,bn:00018091n,bn:02549194n,bn:00023477n,bn:03423217n,bn:00018953n,bn:00256411n
northern pike	bn:00031600n
yellow perch	bn:00061497n
tuna	bn:00329355n,bn:00078585n,bn:00004180n,bn:00059230n,bn:03731469n,bn:00078584n,bn:14908161n,bn:02654556n,bn:11672783n,bn:02887271n
chicken	bn:00717796n,bn:00018267n,bn:00018266n,bn:00018265n,bn:03416440n,bn:00018268n,bn:01240248n,bn:16703847n,bn:03097564n,bn:01206608n,bn:00296823n,bn:00175629n,bn:02439275n,bn:00023397n,bn:14781938n
shrimp	bn:00071349n,bn:00064034n,bn:00559672n,bn:00042619n
jellyfish	bn:02458712n,bn:00457879n,bn:00048112n,bn:00048113n,bn:02010949n
steak	bn:01932394n,bn:00074089n,bn:00054026n
the meat	
the rice	
pork	bn:14991051n,bn:15936373n,bn:01234857n,bn:00063616n,bn:00063606n
eel	bn:03356673n,bn:03542256n,bn:00029859n,bn:02811597n,bn:00029858n
roach	bn:15147114n,bn:03286329n,bn:14308475n,bn:00019173n,bn:00067972n,bn:00067973n,bn:00052264n,bn:00067971n,bn:00052861n,bn:00020298n,bn:00414667n
foie gras	bn:00035579n
loin	bn:00051881n,bn:00051882n,bn:00649674n
red snapper	bn:01115573n,bn:00052391n,bn:00066692n
shark	bn:15415043n,bn:03458566n,bn:03333186n,bn:00597387n,bn:00356798n,bn:16372699n,bn:00384993n,bn:09408038n,bn:00070920n,bn:00070921n,bn:01914306n,bn:00203190n,bn:00070919n,bn:03215020n,bn:17136676n,bn:03759662n,bn:01156538n,bn:01943764n,bn:03694565n,bn:16207502n
seafood	bn:01228531n,bn:00070008n,bn:00850238n
poultry	bn:02790281n,bn:00028155n,bn:00063907n,bn:16960745n
sea bass	bn:00008914n,bn:00069952n,bn:17101244n
sturgeon	bn:00074827n,bn:00374736n,bn:02395354n,bn:15967029n,bn:17030703n,bn:01152687n
gras	bn:03692011n,bn:00588159n
food	bn:01727735n,bn:12262866n,bn:00155953n,bn:01527525n,bn:15683260n,bn:03077512n,bn:03490929n,bn:00035649n,bn:00527063n,bn:00035650n,bn:00035651n
bass	bn:00008916n,bn:00008915n,bn:00008918n,bn:00008917n,bn:00008912n,bn:00008911n,bn:00008914n,bn:00008913n,bn:14498794n,bn:00197086n,bn:03893607n,bn:01381809n,bn:00019683n,bn:15819896n,bn:14395851n,bn:13929880n
oyster	bn:16268454n,bn:00045142n,bn:00738536n,bn:00406713n,bn:15259599n,bn:00060022n,bn:00447307n,bn:00060021n
shellfish	bn:00071018n,bn:00055576n
anchovy	bn:16086748n,bn:00003908n,bn:00003907n
tenderloin	bn:03779571n,bn:00051881n,bn:03155301n,bn:00020867n,bn:01757562n,bn:00076505n
fish	bn:00034586n,bn:02303252n,bn:00984503n,bn:02675472n,bn:15078968n,bn:00040840n,bn:03375627n,bn:01504485n,bn:02574741n,bn:16785064n,bn:16028560n,bn:00035660n,bn:00034819n,bn:00034818n,bn:00034817n,bn:00062612n,bn:00034816n,bn:16027624n,bn:00930285n,bn:00474638n,bn:14562104n,bn:03454324n,bn:01151320n
the turkey	bn:00765150n
smallmouth bass	bn:00072285n,bn:00054778n
lamb	bn:00049758n,bn:00049759n,bn:00017863n,bn:00040452n,bn:00570886n,bn:01151282n,bn:00025579n,bn:00056150n,bn:00002060n,bn:14147280n,bn:03089830n,bn:00012957n,bn:03202258n,bn:03764797n,bn:00024624n,bn:01923422n,bn:03864476n,bn:00070967n,bn:02560628n,bn:00608831n,bn:00049760n
meat	bn:02213088n,bn:02138229n,bn:01128965n,bn:00048958n,bn:15528048n,bn:00678859n,bn:00054026n,bn:00017124n,bn:16237994n
cod	bn:17085410n,bn:00182755n,bn:03702596n,bn:00068994n,bn:00020345n,bn:00020344n,bn:00020343n,bn:00032920n,bn:03509259n
clam	bn:00771676n,bn:00019414n,bn:00013578n,bn:00019415n,bn:02888228n
the fish	bn:03462929n,bn:03767677n,bn:15574050n,bn:16640127n
breast	bn:00012953n,bn:15115582n,bn:00012952n,bn:00018207n,bn:00012951n,bn:00012950n,bn:00012047n
crab	bn:00023438n,bn:00023442n,bn:02407013n,bn:00015183n,bn:00015181n,bn:00023439n,bn:03663450n,bn:02726213n,bn:01065752n,bn:16871484n,bn:00023440n,bn:00023441n,bn:03859906n
tim cahill	bn:00918064n,bn:03284713n,bn:03110555n,bn:14874053n
mark viduka	bn:03133305n
review	bn:01293196n,bn:00066433n,bn:00023864n,bn:01397861n,bn:00046920n,bn:00051258n,bn:03390200n,bn:00013506n,bn:16360157n,bn:00797154n,bn:00067553n,bn:00067554n,bn:00035628n,bn:00067555n,bn:00066480n
bulletin	bn:00013812n,bn:00546960n,bn:03261471n
gorgeous	bn:02621786n,bn:02456439n,bn:03825796n,bn:01297661n,bn:03680366n,bn:16439383n
refined	bn:00065289n
elegant	bn:00030293n,bn:00009435n
sub	bn:01020591n,bn:00062349n,bn:00011938n
nuclear submarine	bn:00057039n
nuclear submarines	bn:00057039n
publishing house	bn:00065111n,bn:00065108n
cambridge university press	bn:03599251n
university of chicago press	bn:01234755n
editorial review	
penguin books	bn:03821214n,bn:03353319n
publishing co.	
university of california press	bn:01608237n
number of items	
columbia university press	bn:01174805n
university press	bn:03796815n,bn:00837228n,bn:14088335n
random	bn:00031061n,bn:03427697n,bn:00897769n,bn:03558614n,bn:01803936n,bn:00906894n,bn:02025097n
doubleday	bn:02691152n
publishers	bn:00065108n
yale university press	bn:00207177n
morrow	bn:00035851n,bn:00488734n,bn:00220643n,bn:02515179n,bn:01313640n,bn:00055937n,bn:03503749n
press	bn:00019957n,bn:01715284n,bn:02606996n,bn:00064248n,bn:00064259n,bn:00064247n,bn:00064246n,bn:03620676n,bn:00064245n,bn:00024144n,bn:00046094n,bn:03814902n,bn:00054981n,bn:00054058n,bn:02283614n,bn:03171006n
publishing	bn:00065108n
harvard university press	bn:00417346n
publishing company	bn:00065111n,bn:00065108n
viking	bn:00079998n,bn:00911696n,bn:00992620n,bn:00334807n,bn:03144833n,bn:03267201n,bn:02737630n,bn:03187907n,bn:14085629n,bn:03096748n,bn:01561082n,bn:16867875n,bn:17367017n,bn:01082168n,bn:00681297n,bn:03856462n,bn:00454157n,bn:00142271n
macmillan	bn:03814330n,bn:00167154n,bn:02426447n
schuster	bn:03812394n,bn:02017229n
oxford university press	bn:03260217n
palgrave macmillan	bn:03508268n
putnam	bn:00208029n,bn:01034245n,bn:01326290n,bn:01488158n,bn:00557890n,bn:00954357n
wiley	bn:00205381n,bn:01712489n,bn:00973366n,bn:03334567n
editions	bn:00029771n
books	bn:09957196n,bn:03087015n,bn:00012059n
mifflin	bn:00525578n,bn:16978954n,bn:00596549n
knopf	bn:00300885n
houghton mifflin	bn:00120553n
vintage	bn:02254647n,bn:14594480n,bn:01050436n,bn:01105975n,bn:00043090n,bn:03139342n,bn:03291764n,bn:01441509n,bn:02307003n,bn:00077294n,bn:00080023n,bn:02495028n,bn:03376025n
clarendon press	bn:03260217n
paperback	bn:00060467n
dutton	bn:00166545n,bn:00493074n,bn:02229169n,bn:00389455n
random house	bn:01069541n
pub	bn:00008462n,bn:00040492n,bn:03785870n,bn:03085659n,bn:01141472n,bn:03658296n
academic press	bn:01921972n
princeton university press	bn:00417404n
faber	bn:00931415n,bn:02726735n,bn:15980435n,bn:00589368n,bn:03857929n,bn:00214931n
penguin	bn:02471281n,bn:02893606n,bn:03598279n,bn:03638386n,bn:01989627n,bn:00527451n,bn:02462271n,bn:03353319n,bn:03821214n,bn:00899329n,bn:00061362n
publications	bn:00065106n
slavic	bn:00072093n,bn:00977300n,bn:00658364n
anglo-saxon	bn:00004152n,bn:00004151n,bn:00869670n,bn:00004153n
saxon	bn:03295641n,bn:02315712n,bn:03574959n,bn:15254464n,bn:00596709n,bn:02544104n,bn:02283762n,bn:17211689n,bn:03434280n,bn:00546893n,bn:03817866n,bn:00069437n,bn:00445379n,bn:00588572n
vanity fair	bn:16245553n,bn:03388847n,bn:00079567n,bn:02609610n,bn:03882326n,bn:00478293n,bn:02013380n,bn:01909059n,bn:03128028n,bn:02683757n,bn:02228583n,bn:00076745n,bn:00153796n,bn:00153974n,bn:01346435n,bn:00880087n
digest	bn:00021341n,bn:00027062n
gq	bn:03347110n,bn:15811989n,bn:00527773n,bn:03363286n
esquire	bn:02638364n,bn:01782332n,bn:00379412n,bn:00031621n,bn:00031620n
rolling stone	bn:02550810n,bn:02291097n,bn:01891254n
cosmopolitan	bn:01388483n,bn:03140465n,bn:00029852n,bn:00043382n,bn:03217767n,bn:00705789n,bn:00022990n,bn:02970234n
playboy	bn:15386618n,bn:00022653n,bn:17257566n,bn:00729889n,bn:01876143n,bn:03422077n,bn:13862584n,bn:02532527n,bn:01535110n
vogue	bn:01163118n,bn:00240381n,bn:00988727n,bn:01028675n,bn:02776638n,bn:00074832n,bn:00080184n,bn:02785721n,bn:01574207n,bn:02112731n,bn:02065989n
